Entity ID,Friendly Name,Naming Issues
person.makerspace,MakerSpace,"Too short, Type not in name"
person.smartcampus,smartcampus,"Too short, Type not in name"
person.code_community,CODE Community,Type not in name
person.daniel,Daniel,"Too short, Type not in name"
person.climate_dashboard,Climate Dashboard,Type not in name
person.noahfrank,NoahFrank,"Too short, Type not in name"
update.home_assistant_supervisor_update,Home Assistant Supervisor Update,OK
update.home_assistant_core_update,Home Assistant Core Update,OK
update.piper_update,Piper Update,OK
update.studio_code_server_update,Studio Code Server Update,OK
update.whisper_update,Whisper Update,OK
update.esphome_device_builder_update,ESPHome Device Builder Update,OK
update.speech_to_phrase_update,Speech-to-Phrase Update,Contains special characters
update.mosquitto_broker_update,Mosquitto broker Update,OK
update.home_assistant_operating_system_update,Home Assistant Operating System Update,OK
binary_sensor.remote_ui,Remote UI,Type not in name
stt.home_assistant_cloud,Home Assistant Cloud,Type not in name
tts.home_assistant_cloud,Home Assistant Cloud,Type not in name
conversation.home_assistant,Home Assistant,Type not in name
zone.home,CODE MakerSpace,Type not in name
input_number.battery_threshold,battery threshold,Type not in name
light.ikea_power_socket_1,Smart plug LED 1,Type not in name
light.ikea_power_socket_2,Smart plug LED 2,Type not in name
light.smart_switch_led_2,smart plug LED 3,Type not in name
number.bottles,bottles,"Too short, Type not in name"
number.pfand,pfand,"Too short, Type not in name"
sensor.low_battery_devices,Low Battery Devices,Type not in name
sensor.unoccupied_rooms,Unoccupied rooms,Type not in name
sun.sun,Sun,Too short
sensor.sun_next_dawn,Sun Next dawn,Type not in name
sensor.sun_next_dusk,Sun Next dusk,Type not in name
sensor.sun_next_midnight,Sun Next midnight,Type not in name
sensor.sun_next_noon,Sun Next noon,Type not in name
sensor.sun_next_rising,Sun Next rising,Type not in name
sensor.sun_next_setting,Sun Next setting,Type not in name
tts.google_translate_en_com,Google Translate en com,Type not in name
binary_sensor.xxx_xxx_x_x_focus,xxx.xxx.x.x Focus,Type not in name
device_tracker.xxx_xxx_x_x,xxx.xxx.x.x,"Too short, Type not in name"
sensor.xxx_xxx_x_x_connection_type,xxx.xxx.x.x Connection Type,Type not in name
sensor.xxx_xxx_x_x_battery_level,xxx.xxx.x.x Battery Level,Type not in name
sensor.xxx_xxx_x_x_ssid,xxx.xxx.x.x SSID,Type not in name
sensor.xxx_xxx_x_x_bssid,xxx.xxx.x.x BSSID,Type not in name
sensor.xxx_xxx_x_x_battery_state,xxx.xxx.x.x Battery State,Type not in name
sensor.xxx_xxx_x_x_storage,xxx.xxx.x.x Storage,Type not in name
sensor.xxx_xxx_x_x_sim_2,xxx.xxx.x.x SIM 2,Type not in name
sensor.xxx_xxx_x_x_geocoded_location,xxx.xxx.x.x Geocoded Location,Type not in name
sensor.xxx_xxx_x_x_sim_1,xxx.xxx.x.x SIM 1,Type not in name
sensor.xxx_xxx_x_x_last_update_trigger,xxx.xxx.x.x Last Update Trigger,Type not in name
sensor.xxx_xxx_x_x_app_version,xxx.xxx.x.x App Version,Type not in name
sensor.xxx_xxx_x_x_location_permission,xxx.xxx.x.x Location permission,Type not in name
sensor.xxx_xxx_x_x_audio_output,xxx.xxx.x.x Audio Output,Type not in name
sensor.xxx_xxx_x_x_activity,xxx.xxx.x.x Activity,Type not in name
sensor.xxx_xxx_x_x_floors_descended,xxx.xxx.x.x Floors Descended,Type not in name
sensor.xxx_xxx_x_x_steps,xxx.xxx.x.x Steps,Type not in name
sensor.xxx_xxx_x_x_distance,xxx.xxx.x.x Distance,Type not in name
sensor.xxx_xxx_x_x_floors_ascended,xxx.xxx.x.x Floors Ascended,Type not in name
sensor.xxx_xxx_x_x_average_active_pace,xxx.xxx.x.x Average Active Pace,Type not in name
binary_sensor.macbook_pro_21_camera_in_use,MacBook Pro (21) Camera In Use,Type not in name
binary_sensor.macbook_pro_21_audio_input_in_use,MacBook Pro (21) Audio Input In Use,Type not in name
binary_sensor.macbook_pro_21_audio_output_in_use,MacBook Pro (21) Audio Output In Use,Type not in name
binary_sensor.macbook_pro_21_focus,MacBook Pro (21) Focus,Type not in name
binary_sensor.macbook_pro_21_active,MacBook Pro (21) Active,Type not in name
device_tracker.macbook_pro_21,MacBook Pro (21),Type not in name
sensor.macbook_pro_21_internal_battery_level,MacBook Pro (21) Internal Battery Level,Type not in name
