Component,Installed Version,Latest Version,Status
home_assistant_supervisor_update,2025.03.4,2025.03.4,✅ Up-to-date
home_assistant_core_update,2025.4.1,2025.4.1,✅ Up-to-date
piper_update,1.5.2,1.5.2,✅ Up-to-date
studio_code_server_update,5.18.4,5.18.4,✅ Up-to-date
whisper_update,2.4.0,2.4.0,✅ Up-to-date
esphome_device_builder_update,2025.3.3,2025.3.3,✅ Up-to-date
speech_to_phrase_update,1.3.0,1.3.0,✅ Up-to-date
mosquitto_broker_update,6.5.0,6.5.0,✅ Up-to-date
home_assistant_operating_system_update,15.1,15.1,✅ Up-to-date
ha_floorplan_your_imagination_just_became_the_new_limit_update,v1.0.48,v1.0.48,✅ Up-to-date
hacs_update,2.0.5,2.0.5,✅ Up-to-date
template_entity_row_update,v1.4.1,v1.4.1,✅ Up-to-date
home_assistant_voice_093f20_home_assistant_voice_093f20,25.3.4,25.3.4,✅ Up-to-date
makerspace_occupancy_firmware,0x00001006,0x00001005,⚠️ Outdated
sonoff_snzb_02d_temp_humidity_firmware,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_humid_temp_firmware,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_temp_humid_firmware,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_firmware,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_humid_temp_firmware_2,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_firmware_2,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_humid_temp_firmware_3,0x00002300,0x00002300,✅ Up-to-date
sonoff_snzb_02d_firmware_3,0x00002300,0x00002300,✅ Up-to-date
b3_occupancy_firmware,0x00001006,0x00001005,⚠️ Outdated
sonoff_snzb_02d_firmware_4,0x00002300,0x00002300,✅ Up-to-date
b4_occupancy_firmware,0x00001006,0x00001005,⚠️ Outdated
sonoff_snzb_06p_firmware,0x00001006,0x00001005,⚠️ Outdated
b6_occupancy_firmware_2,0x00001006,0x00001005,⚠️ Outdated
b7_occupancy_firmware_2,0x00001006,0x00001005,⚠️ Outdated
unknown_firmware_3,0x00001006,0x00001005,⚠️ Outdated
b12_occupancy_firmware_3,0x00001006,0x00001005,⚠️ Outdated
a6_occupancy_firmware_4,0x00001006,0x00001005,⚠️ Outdated
