Entity ID,State
person.makerspace,unknown
person.smartcampus,unknown
person.code_community,unknown
person.daniel,unknown
person.climate_dashboard,unknown
person.noahfrank,unknown
stt.home_assistant_cloud,unknown
number.bottles,unknown
number.pfand,unknown
sensor.xxx_xxx_x_x_activity,Unknown
device_tracker.smaller_black_slab,unknown
sensor.smaller_black_slab_storage,unavailable
sensor.smaller_black_slab_battery_state,unavailable
sensor.smaller_black_slab_battery_level,unavailable
sensor.smaller_black_slab_ssid,unavailable
sensor.smaller_black_slab_sim_2,unavailable
sensor.smaller_black_slab_sim_1,unavailable
sensor.smaller_black_slab_geocoded_location,unavailable
sensor.smaller_black_slab_bssid,unavailable
sensor.smaller_black_slab_connection_type,unavailable
sensor.smaller_black_slab_last_update_trigger,unavailable
sensor.smaller_black_slab_app_version,unavailable
sensor.smaller_black_slab_location_permission,unavailable
sensor.smaller_black_slab_audio_output,unavailable
device_tracker.daniels_ipad,unknown
sensor.daniels_ipad_geocoded_location,Unknown
button.octoprint_resume_job,unknown
button.octoprint_pause_job,unknown
button.octoprint_shutdown_system,unknown
button.octoprint_reboot_system,unknown
button.octoprint_restart_octoprint,unknown
sensor.octoprint_target_a_temp,unknown
sensor.octoprint_target_e_temp,unknown
sensor.octoprint_target_p_temp,unknown
sensor.octoprint_target_w_temp,unknown
sensor.octoprint_estimated_finish_time,unknown
sensor.octoprint_start_time,unknown
camera.octoprint_camera,idle
sensor.backup_backup_manager_state,idle
stt.faster_whisper,unknown
stt.speech_to_phrase,unknown
sensor.pfand_hx711_value,unavailable
media_player.home_assistant_voice_093f20_media_player,idle
event.home_assistant_voice_093f20_button_press,unknown
assist_satellite.home_assistant_voice_093f20_assist_satellite,idle
button.ikea_power_socket_1_identify,unknown
button.makerspace_occupancy_identify,unknown
button.ikea_aq_sensor_identify,unknown
button.ikea_tradfri_driver_1_identify,unknown
button.ikea_tradfri_driver_2_identify_2,unknown
button.ikea_of_sweden_remote_control_n2_identify,unavailable
button.ikea_power_socket_2_identify,unknown
button.sonoff_snzb_02d_temp_humidity_identify,unknown
button.sonoff_snzb_02d_humid_temp_identify,unknown
button.sonoff_snzb_02d_temp_humid_identify,unknown
button.sonoff_snzb_02d_identify,unknown
button.ikea_power_socket_identify,unavailable
button.sonoff_snzb_02d_humid_temp_identify_2,unknown
button.sonoff_snzb_02d_identify_2,unknown
button.ikea_of_sweden_tretakt_smart_plug_identify,unknown
button.al001_wg001_z01_wifi_extender_identify,unknown
button.sonoff_snzb_02d_humid_temp_identify_3,unknown
button.sonoff_snzb_02d_identify_3,unknown
button.ikea_of_sweden_tradfri_driver_30w_3_identify,unknown
button.ikea_tradfri_driver_4_laser_cutter_identify,unknown
button.ikea_tradfri_driver_4_identify,unknown
button.b3_occupancy_identify,unknown
button.sonoff_snzb_02d_identify_4,unknown
button.b4_occupancy_identify,unknown
button.sonoff_snzb_06p_identify,unknown
button.b6_occupancy_identify_2,unknown
button.b7_occupancy_identify_2,unknown
button.unknown_identify_3,unknown
button.b12_occupancy_identify_3,unknown
button.a6_occupancy_identify_4,unknown
button.smart_switch_led_2_identify_2,unknown
button.ewelink_ms01_identify,unknown
button.frient_a_s_aqszb_110_identify,unknown
button.ewelink_ms01_identify_2,unknown
button.unk_manufacturer_unk_model_identify,unknown
button.ewelink_ms01_identify_3,unknown
number.sonoff_snzb_02d_temp_humidity_comfort_temperature_min,unknown
number.sonoff_snzb_02d_temp_humidity_comfort_temperature_max,unknown
number.sonoff_snzb_02d_temp_humidity_comfort_humidity_min,unknown
number.sonoff_snzb_02d_temp_humidity_comfort_humidity_max,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_min,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_max,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_min,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_max,unknown
number.sonoff_snzb_02d_temp_humid_comfort_temperature_min,unknown
number.sonoff_snzb_02d_temp_humid_comfort_temperature_max,unknown
number.sonoff_snzb_02d_temp_humid_comfort_humidity_min,unknown
number.sonoff_snzb_02d_temp_humid_comfort_humidity_max,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_min_2,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_max_2,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_min_2,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_max_2,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_min_3,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_max_3,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_min_3,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_max_3,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_min_4,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_max_4,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_min_4,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_max_4,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_min_5,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_max_5,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_min_5,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_max_5,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_min_6,unknown
number.sonoff_snzb_02d_humid_temp_comfort_temperature_max_6,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_min_6,unknown
number.sonoff_snzb_02d_humid_temp_comfort_humidity_max_6,unknown
number.sonoff_snzb_02d_comfort_temperature_min,unknown
number.sonoff_snzb_02d_comfort_temperature_max,unknown
number.sonoff_snzb_02d_comfort_humidity_min,unknown
number.sonoff_snzb_02d_comfort_humidity_max,unknown
select.sonoff_snzb_02d_temp_humidity_display_unit,unknown
select.sonoff_snzb_02d_humid_temp_display_unit,unknown
select.sonoff_snzb_02d_temp_humid_display_unit,unknown
select.sonoff_snzb_02d_humid_temp_display_unit_2,unknown
select.ikea_power_socket_start_up_behavior,unavailable
select.sonoff_snzb_02d_humid_temp_display_unit_3,unknown
select.sonoff_snzb_02d_humid_temp_display_unit_4,unknown
select.sonoff_snzb_02d_humid_temp_display_unit_5,unknown
select.sonoff_snzb_02d_humid_temp_display_unit_6,unknown
select.sonoff_snzb_02d_display_unit,unknown
sensor.ikea_of_sweden_remote_control_n2_battery,unavailable
sensor.frient_a_s_aqszb_110_battery,unknown
update.ikea_power_socket_1_firmware,unknown
update.ikea_aq_sensor_firmware,unknown
update.ikea_tradfri_driver_1_firmware,unknown
update.ikea_tradfri_driver_2_firmware_2,unknown
update.ikea_of_sweden_remote_control_n2_firmware,unavailable
update.ikea_power_socket_2_firmware,unknown
update.ikea_power_socket_firmware,unavailable
update.ikea_of_sweden_tretakt_smart_plug_firmware,unknown
update.al001_wg001_z01_wifi_extender_firmware,unknown
update.ikea_of_sweden_tradfri_driver_30w_3_firmware,unknown
update.ikea_tradfri_driver_4_laser_cutter_firmware,unknown
update.ikea_tradfri_driver_4_firmware,unknown
update.smart_switch_led_2_firmware_2,unknown
update.frient_a_s_aqszb_110_firmware,unknown
